,LN_ID,TARGET,contract_type_ord,gender_ord,num_of_children_ord,INCOME,APPROVED_CREDIT,ANNUITY,PRICE,income_type_ord,education_ord,family_status_ord,housing_type_ord,DAYS_AGE,DAYS_WORK,DAYS_REGISTRATION,DAYS_ID_CHANGE,weekdays_apply_ord,hour_apply_ord,organization_type_ord,EXT_SCORE_1,EXT_SCORE_2,EXT_SCORE_3,SK_ID_PREV,INST_NUMBER,INST_DAYS,PAY_DAYS,AMT_INST,AMT_PAY,contract_type_prevapp_ord,ANNUITY_PREV_APP,APPLICATION,APPROVED_CREDIT_PREV_APP,AMT_DOWN_PAYMENT,PRICE_PREV_APP,weekdays_apply_prevapp_ord,hour_apply_prevapp_ord,DAYS_DECISION,TERM_PAYMENT,yield_group_ord,FIRST_DRAW,FIRST_DUE,TERMINATION,NFLAG_INSURED_ON_APPROVAL
2,176791,0,1,1,1,139500.0,339948.0,26437.5,315000.0,1,1,4,1,-12560,-419,-2861,-4667,1,0,0,0.1871308613700928,0.5187008727721591,0.7180328113294772,1184434,11,-2093,-2107.0,6655.32,6655.32,3,6655.32,61375.05,69471.0,4.05,61375.05,7,0,-2424,16.0,2,365243.0,-2393.0,-1941.0,1.0
5,179136,0,1,2,1,166500.0,450000.0,35685.0,450000.0,2,2,1,1,-9405,-1114,-87,-2030,1,1,1,0.5771861456716872,0.20070523330623075,0.4920600938649263,2051425,9,-350,-367.0,14459.22,14459.22,3,14459.22,112023.0,139837.5,0.0,112023.0,4,1,-627,12.0,1,365243.0,-590.0,-288.0,0.0
6,174883,0,1,1,3,157500.0,225000.0,25384.5,225000.0,2,1,1,1,-15007,-858,-7329,-5093,1,1,2,0.4190401891566961,0.4537099423613431,0.4083588531230431,1309925,10,-1431,-1435.0,9610.02,9610.02,3,9610.02,107995.5,107599.5,22500.0,107995.5,2,2,-1732,14.0,1,365243.0,-1701.0,-1398.0,0.0
10,143055,0,1,2,2,90000.0,152820.0,16344.0,135000.0,1,1,1,1,-17694,-1687,-5820,-1231,1,2,2,0.7203719832241496,0.6109404237427483,0.5154953751603267,2560811,21,-830,-863.0,7276995.0,7276995.0,3,7276995.0,137101.5,161352.0,0.0,137101.5,3,3,-1461,24.0,4,365243.0,-1430.0,-764.0,0.0
17,156172,0,1,2,1,135000.0,345645.0,12546.0,243000.0,1,1,1,1,-17258,-109,-8744,-808,6,3,3,0.6005316273033054,0.5821770641830524,0.4740512892789932,1464740,1,-1594,-1599.0,10130.67,10130.67,3,10130.67,104760.0,120316.5,0.0,104760.0,5,4,-1625,18.0,2,365243.0,-1594.0,-1077.0,0.0
18,162509,0,1,2,1,135000.0,247675.5,29524.5,229500.0,2,2,1,5,-10969,-1856,-4668,-3640,2,4,2,0.27057595920678656,0.2652733881023268,0.7838324335199619,1460319,10,-2087,-2100.0,4520.61,4520.61,3,4520.61,54247.5,47736.0,6511.5,54247.5,7,5,-2389,12.0,3,365243.0,-2357.0,-2025.0,0.0
23,180905,0,1,2,1,157500.0,463284.0,22662.0,382500.0,2,1,4,1,-17040,-1222,-1517,-577,2,2,4,0.6397866115919761,0.693046332108434,0.3001077565791181,1730951,10,-464,-480.0,11152845.0,11152845.0,3,11190.87,102870.0,100728.0,10287.0,102870.0,2,1,-770,10.0,3,365243.0,-734.0,-457.0,0.0
28,140016,0,1,2,1,247500.0,296280.0,21690.0,225000.0,2,2,2,2,-8559,-382,-3183,-1240,3,5,2,0.5457384013025995,0.24757916235311425,0.30162489168411943,1623448,7,-630,-638.0,5933.34,5933.34,3,5933.34,47146.5,53415.0,4716.0,47146.5,2,0,-841,12.0,2,365243.0,-810.0,-507.0,0.0
29,155625,0,1,1,4,144000.0,916299.0,36468.0,819000.0,2,1,1,1,-13709,-2951,-3165,-4763,6,6,5,0.3652635350819611,0.6279341344847545,0.5762088360175724,1227261,2,-2751,-2760.0,7226415.0,7226415.0,3,7226415.0,41311.8,39019.5,4132.8,41311.8,1,6,-2812,6.0,1,365243.0,-2781.0,-2582.0,1.0
31,112694,0,1,2,1,157500.0,1350000.0,37125.0,1350000.0,1,1,1,1,-16177,-2699,-3039,-4348,5,7,6,0.7214302097791336,0.07057030288556418,0.6347055309763198,1756796,5,-2473,-2476.0,4564845.0,4564845.0,3,4564845.0,36000.0,28782.0,9000.0,36000.0,7,7,-2624,8.0,3,365243.0,-2593.0,-2379.0,1.0
